# Tech Startup Outreach - May 2026 | Opens require tracking pixels (not available via Gmail API)
"TOTAL,257,0,74,0.0%,28.8%"

Company,Sent,Replies,Bounces,Reply_%,Bounce_%,First_Reply_Date
DoorDash,20,0,0,0.0%,0.0%,
Amazon,20,0,0,0.0%,0.0%,
Scale AI,20,0,0,0.0%,0.0%,
Discord,20,0,0,0.0%,0.0%,
Vercel,15,0,0,0.0%,0.0%,
Headway,15,0,0,0.0%,0.0%,
Kalshi,14,0,0,0.0%,0.0%,
Mercor,11,0,0,0.0%,0.0%,
Cursor,10,0,0,0.0%,0.0%,
MongoDB,20,0,3,0.0%,15.0%,
Zip,12,0,8,0.0%,66.7%,
Supabase,12,0,8,0.0%,66.7%,
Clay,12,0,8,0.0%,66.7%,
Sony,20,0,12,0.0%,60.0%,
Applied Intuition,15,0,15,0.0%,100.0%,
GitHub,21,0,20,0.0%,95.2%,
